"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\README.md", "Markdown", 0, 11, 0, 0, 11
"c:\Users\davey\Desktop\Projects\Time Zones\app_style.py", "Python", 225, 0, 1, 2, 228
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", -72, 0, 2, 10, -60
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_config.py", "Python", 22, 0, 0, 1, 23
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_timezone_data.py", "Python", 232, 0, 0, 10, 242
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", 546, 0, 0, 32, 578
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_config.py", "Python", 21, 0, 0, 4, 25
"c:\Users\davey\Desktop\Projects\Time Zones\timezone_data.py", "Python", 155, 0, 5, 1, 161
"Total", "-", 1129, 11, 8, 60, 1208
