"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Time Zones\app_window.py", "Python", 30, 1, 2, 33
"c:\Users\davey\Desktop\Projects\Time Zones\tests\test_ui_smoke.py", "Python", 14, 0, 1, 15
"Total", "-", 44, 1, 3, 48
